date,Temp [C],precipitation [mm],rain [mm],snowfall [cm],cloud [%],cloud_l [%],cloud_m [%],cloud_h [%],wind [km/h],GHI [W/m²],DR [W/m²],DNI [W/m²],is_day,sunshine_duration
01-04-2018 00:00,5.5,0.5,0.5,0.0,92.40001,19.0,76.0,99.0,11.043261,0.0,0.0,0.0,0.0,0.0
01-04-2018 01:00,5.25,0.3,0.3,0.0,100.0,26.0,99.0,100.0,10.594036,0.0,0.0,0.0,0.0,0.0
01-04-2018 02:00,5.1,0.4,0.4,0.0,100.0,14.0,100.0,100.0,10.703569,0.0,0.0,0.0,0.0,0.0
01-04-2018 03:00,4.8,0.6,0.6,0.0,91.8,2.0,100.0,100.0,14.480773,0.0,0.0,0.0,0.0,0.0
01-04-2018 04:00,4.6,0.5,0.5,0.0,100.0,13.0,100.0,100.0,15.778516,0.0,0.0,0.0,0.0,0.0
01-04-2018 05:00,4.35,0.4,0.4,0.0,100.0,100.0,100.0,100.0,18.03237,0.0,0.0,0.0,0.0,0.0
01-04-2018 06:00,4.05,0.4,0.4,0.0,100.0,100.0,96.0,99.0,19.829433,4.0,4.0,0.0,1.0,0.0
01-04-2018 07:00,3.6,0.3,0.3,0.0,100.0,100.0,87.0,99.0,18.35647,29.0,29.0,0.0,1.0,0.0
01-04-2018 08:00,3.35,0.2,0.2,0.0,100.0,100.0,82.0,96.0,16.09969,69.0,69.0,0.0,1.0,0.0
01-04-2018 09:00,3.1,0.1,0.1,0.0,100.0,100.0,93.0,85.0,14.587776,111.0,111.0,0.0,1.0,0.0
01-04-2018 10:00,3.55,0.0,0.0,0.0,100.0,98.0,67.0,41.0,11.792404,207.0,186.0,37.483883,1.0,0.0
01-04-2018 11:00,4.2,0.0,0.0,0.0,80.4,89.0,0.0,1.0,8.089993,314.0,234.0,127.13012,1.0,2013.9036
01-04-2018 12:00,4.4,0.0,0.0,0.0,90.0,100.0,0.0,0.0,14.654254,452.0,286.0,251.59726,1.0,3600.0
01-04-2018 13:00,4.25,0.0,0.0,0.0,89.1,97.0,3.0,0.0,13.896187,292.0,256.0,55.410034,1.0,0.0
01-04-2018 14:00,4.45,0.0,0.0,0.0,84.6,92.0,3.0,0.0,12.964998,294.0,237.0,95.04222,1.0,1051.2666
01-04-2018 15:00,4.6,0.0,0.0,0.0,83.399994,92.0,1.0,0.0,12.605142,150.0,144.0,11.688996,1.0,0.0
01-04-2018 16:00,4.6,0.0,0.0,0.0,90.0,100.0,0.0,0.0,11.792404,112.0,106.0,15.139273,1.0,0.0
01-04-2018 17:00,4.35,0.1,0.1,0.0,100.0,100.0,4.0,65.0,10.636766,67.0,61.0,23.366596,1.0,0.0
01-04-2018 18:00,4.25,0.0,0.0,0.0,100.0,100.0,5.0,27.0,8.707237,17.0,17.0,0.0,1.0,0.0
01-04-2018 19:00,4.25,0.0,0.0,0.0,100.0,94.0,2.0,94.0,6.6087217,0.0,0.0,0.0,0.0,0.0
01-04-2018 20:00,4.2,0.0,0.0,0.0,100.0,96.0,13.0,99.0,2.7416782,0.0,0.0,0.0,0.0,0.0
01-04-2018 21:00,4.15,0.0,0.0,0.0,100.0,86.0,1.0,100.0,2.7416782,0.0,0.0,0.0,0.0,0.0
